text,subcategory,label,Prediction
Kayyum rektörleri protesto eden birçok akademisyen ve mühendis uzay programında önemli görevler üstlenecekler şüphesz. Görevlerini sağlıklı bir şekilde yapabilmeleri devletin sağlayacağı özgürlük alanlarına bağlı. Akademiye kulağını tıkamak bindiği roketi kesmek anlamına gelecek.,bogazici_2021,1,0
"çıkan altının %98'ini alıp giden yabancılar işletiyor?""",maden_2024,1,0
"hedef şaşırtmalarına yardımcı olmayalım.""",maden_2024,1,0
"başka konular konuşulsun istiyorlar Reis.""",maden_2024,1,0
"küçüğü tedbir alınmaması.""",deprem,1,0
"hem ülkemizi çölleştiriliyorlar hem de %80 altını götürüyorlar hemde vergi borçları siliniyor Gelire ortaklar herhalde ortaya çıkıyor..""",maden_2024,1,0
"Afganlara getirenler tiksinti veriyor.""",yangin_2021,1,0
"ama burada ona vesile oldu maalesef. Eminim ülkedeki cumhuriyetçi çoğunluğu kenetlemek için yapmıştır. +""",maden_2024,1,0
"veba gibi salgından ölen hükmî şehitlerin naaşı yıkanır.""",maden_2024,1,0
"soğuduğunda hiç geçmez. Yara çok taze...""",deprem,1,0
"mezhep veya bölge farklılığı gözeterek kin ve düşmanlığa tahrik ettiği"""" gerekçesiyle kendisine açılan dava sonucunda 10 ay hapis cezasına çarptırılmıştı ve daha ağır olmalıydı.""",sarachane,1,0
"alım değerinin 3 katı durumunda!"""" Anahtar Tv Youtube""",maden_2024,1,0
"ama en azından daha büyük bir felaket önlenmiş oldu.. #siyanür #erzincanilic""",maden_2024,1,0
"2000 lerin basindan itibaren 10 yil boyunca kaza istatistigi tutmustum. Ilginc sekilde 6 kaza cifterli idi. 2 f16 3 te f4 kazasinda ikiser ucak dustu. Bunlar en temiz pilotlari, hic eleme sanslari yoksa ucagini dusurerek oldurduler.",corlu_2018,1,0
Darbe girişimine katılan ve Cumhurbaşkanı Sarayı'na girmeyi deneyen üçü rütbeli 13 asker gözaltına alındı.,15temmuz,1,0
+ olarak olayların daha ilk bașında deprem olduğundan beri ilk yardım edenlerden biri de Mansur Yavaștı,deprem,1,0
"hapiste yemedi.""",sarachane,1,0
"bende Fb forması ve atkısı ile şampiyonluk turu atayım.""",deprem,1,0
"bir milletine el veremedi. Sıfırlanan kurumların en başındaki yerini kimseye kaptırmıyor.""",deprem,1,0
"tahrik edilerek sağlanacaktir.""",bogazici_2021,1,0
"tok karınlar ve yüksek düzeyde yaşam memnuniyeti keşfetti.""",sarachane,1,0
"""2-3 yıllık istinaf ve yargıtay süreçleri ile 6 ay sonraki seçimde hiçbir işe yaramayan ve bizatihi Akparti aleyhine görülecek bu kararı aldırmak için Akparti niye uğraşsın? Bir müdahale olsa seçimden sonraya bırakıp karar verilmesi gerekmezmiydi",sarachane,1,0
Zafer Partisi akademisyenlerin ekonomik sosyal şehircilik deprem imar savunma tarım sulama maden hayvancılık daha bir çok konuda sorunları çözen geliştiren yenileyen gerçekleşmesi az maliyet az zamanda en etkin en verimli projelerin hazırlandığı bir kadroya sahip bu kesin.,maden_2024,1,0
İptal olmadı kararı istinat mahkemesine götürmek için süre aldılar yani karar yazıldıktan sonra süre beklemeden istinaf edeceklerini bildiriyorlar.,sarachane,1,0
"çamur atıyorsunuz!""",maden_2024,1,0
"geciktiyrsnz""",deprem,1,0
İşte her şey bundan sonra bitti .,noise,0,1
Orkestra yok .,noise,0,1
Problem analizi ile karar vermeyi birbirinden ayırt etmek önemlidir .,noise,0,1
Güç tutkusu onu ne pahasına olursa olsun en üste çıkmaya itti .,noise,0,1
O da Prens gibi kaderini değiştirmeye çalışmaktadır .,noise,0,1
Fakat yardım akışı sınırlı kaldı .,noise,0,1
Onun yaşayıp yaşamadığı bile tartışılmıştır .,noise,0,1
Mahkeme tarafların uyuşmazlık içerisinde olduğuna kanaat getirerek şirkete Kayyum atanmasına karar verdi .,noise,0,1
Kansu Gavri bundan sonra devletin maliye sorunlarına el attı .,noise,0,1
Kısa süre sonra olay yerine arama kurtarma ekipleri geldi .,noise,0,1
Belki de seni Tarsus’a çağıran bir sebep vardı .,noise,0,1
Elektropop tarzı altında listelendi .,noise,0,1
Kılıcını aldıktan sonra da oyuna başlanır .,noise,0,1
İnsan çatışması alanında asla bu kadar çok kişi bu kadar az kişiye borçlu olmadı .,noise,0,1
Ne var ki Medea’nın yardımı olmadan bunu gerçekleştirmesi olanaksızdır .,noise,0,1
İstanbul’da doğdu .,noise,0,1
Hangi etkileşen sözcüklerin etkilendiği ve nasıl etkilendiği dilden dile değişir .,noise,0,1
Dünya çocuklar için yeterince korkunç bir yer .,noise,0,1
Ama eserlerin yazıldığı döneme ve yazılış amacına bakacak olursak durumun böyle olması gayet normal .,noise,0,1
Sınıfa kadar okumuştur .,noise,0,1
Bundan böyle işler Chris için işten çok kişisel bir hal alır .,noise,0,1
Joselin ordusuna yardım adına yola çıktı .,noise,0,1
Ederse ne ala!,noise,0,1
Herkesi etkileyecek bir albüm olsun istedim .,noise,0,1
Boğaziçi Üniversitesi Sosyoloji Bölümünü bitirdi .,noise,0,1
Sonra da şifa diler .,noise,0,1
Kanun suçları ceza tehdidi ile yasaklar .,noise,0,1
Doğal metan gazları atmosfere zarar vermez .,noise,0,1
